52,한미사이언스,"80,800","1,200",+1.51%,500,"54,382","67,305",1.76,"189,821",367.27,4.73,
53,현대제철,"40,300",850,+2.15%,"5,000","53,779","133,446",19.48,"921,515",-21.83,0.10,
54,LG유플러스,"12,250",150,+1.24%,"5,000","53,485","436,611",30.31,"3,809,870",6.75,6.30,
55,코웨이,"71,900",700,-0.96%,500,"53,062","73,800",60.95,"242,586",14.86,30.74,
56,대한항공,"29,650",200,+0.68%,"5,000","51,653","174,210",11.66,"1,573,773",-8.72,-22.09,
57,SK케미칼,"435,500","4,000",-0.91%,"5,000","51,134","11,741",21.46,"385,328",19.87,1.51,
58,SKC,"135,000","10,500",+8.43%,"5,000","51,122","37,868",8.03,"1,286,032",59.92,3.86,
59,강원랜드,"23,800",200,+0.85%,500,"50,918","213,940",22.26,"566,890",-26.80,9.16,
60,녹십자,"430,000","7,000",+1.65%,"5,000","50,252","11,687",21.47,"211,006",115.34,-0.35,
61,아모레G,"60,700","1,100",+1.85%,500,"50,052","82,458",19.98,"125,186",214.49,4.12,
62,오리온,"125,500","2,500",+2.03%,500,"49,618","39,536",42.15,"131,371",18.13,14.24,
63,현대건설,"43,250",250,-0.57%,"5,000","48,161","111,356",18.73,"966,289",21.09,6.30,
64,LG이노텍,"202,500","4,500",-2.17%,"5,000","47,926","23,667",31.69,"327,362",36.71,4.73,
65,한국금융지주,"85,500",900,+1.06%,"5,000","47,646","55,726",30.21,"312,875",7.82,18.14,
66,이마트,"170,500","1,000",+0.59%,"5,000","47,528","27,876",31.52,"214,857",8.51,2.76,
67,유한양행,"66,700",200,-0.30%,"1,000","46,672","69,973",19.93,"456,051",25.69,2.43,
68,HMM,"14,050",50,+0.36%,"5,000","46,070","327,902",6.58,"2,458,151",-45.32,-55.46,
69,한미약품,"378,000","1,000",-0.26%,"2,500","45,656","12,078",14.22,"108,070","-3,669.90",7.30,
70,신풍제약,"85,800",700,+0.82%,500,"45,461","52,985",12.00,"1,413,074","2,383.33",0.80,
71,두산중공업,"11,850",100,-0.84%,"5,000","44,395","374,637",10.68,"2,400,359",-2.56,-14.73,
72,한진칼,"62,800","1,300",+2.11%,"2,500","41,613","66,263",15.39,"72,410",-10.36,-17.56,
73,삼성중공업,"6,470",30,-0.46%,"5,000","40,761","630,000",15.18,"3,615,837",-3.26,-21.88,
74,맥쿼리인프라,"10,800",0,0.00%,0,"40,197","372,192",14.02,"759,851",N/A,N/A,
75,CJ대한통운,"174,000","4,000",+2.35%,"5,000","39,693","22,812",21.42,"121,922",31.37,1.41,
76,현대차2우B,"107,500",500,-0.46%,"5,000","39,222","36,485",60.97,"137,444",25.69,N/A,
77,두산퓨얼셀,"59,100","1,200",+2.07%,100,"38,707","65,494",19.34,"1,046,978",173.31,N/A,
78,현대중공업지주,"241,500","1,000",+0.42%,"5,000","38,154","15,799",17.70,"51,788",-14.63,2.20,
79,키움증권,"148,000","2,500",+1.72%,"5,000","37,953","25,644",22.33,"160,945",6.53,16.97,
80,LG화학우,"481,500","4,000",+0.84%,"5,000","37,022","7,689",63.79,"47,999",44.99,N/A,
81,삼성카드,"31,150",250,+0.81%,"5,000","36,090","115,859",10.71,"161,110",8.76,5.04,
82,GS,"38,100",800,+2.14%,"5,000","35,401","92,915",19.13,"229,456",-41.32,6.26,
83,롯데지주,"33,450",500,+1.52%,200,"35,092","104,909",11.25,"166,689",-4.89,-5.21,
84,삼성증권,"39,000",350,+0.91%,"5,000","34,827","89,300",26.16,"579,094",7.40,8.15,
85,일진머티리얼즈,"75,500","4,800",+6.79%,500,"34,814","46,111",8.93,"898,447",78.32,8.52,
86,GS건설,"42,050",300,+0.72%,"5,000","33,970","80,785",26.80,"1,068,033",11.00,11.79,
87,TIGER 200,"42,610",645,+1.54%,0,"33,960","79,700",0.87,"1,602,807",N/A,N/A,
88,만도,"71,600",100,-0.14%,"1,000","33,621","46,957",26.42,"810,401",-60.63,7.55,
89,쌍용양회,"6,640",10,+0.15%,100,"33,456","503,860",3.05,"941,798",26.67,7.02,
90,한국항공우주,"33,800","1,800",+5.63%,"5,000","32,947","97,475",13.84,"2,815,074",24.89,15.84,
91,NH투자증권,"11,650",150,-1.27%,"5,000","32,784","281,409",15.36,"1,188,528",5.66,9.12,
92,더존비즈온,"107,000","4,500",+4.39%,500,"32,239","30,130",45.52,"192,588",66.50,18.78,
93,에스원,"84,700","1,400",+1.68%,500,"32,185","37,999",56.23,"68,138",22.29,11.32,
94,호텔신라,"81,300",200,+0.25%,"5,000","31,909","39,248",18.70,"535,693",-24.67,20.16,
95,두산밥캣,"31,500",400,+1.29%,500,"31,578","100,249",22.11,"243,278",17.05,7.05,
96,동서,"31,500",100,+0.32%,500,"31,406","99,700",4.17,"173,978",22.71,10.53,
97,롯데쇼핑,"111,000","4,000",+3.74%,"5,000","31,401","28,289",11.58,"136,373",-2.34,-8.14,
98,씨에스윈드,"172,000",0,0.00%,500,"29,731","17,286",9.02,"182,480",59.97,9.92,
99,한국가스공사,"31,900",350,+1.11%,"5,000","29,448","92,313",8.91,"357,298",-5.87,0.48,
100,CJ,"98,800","1,800",+1.86%,"5,000","28,827","29,177",19.73,"203,428",16.41,6.24,
101,대웅,"49,300","1,800",+3.79%,500,"28,664","58,142",5.19,"708,483",56.80,10.43,
102,DB하이텍,"63,700",400,+0.63%,"5,000","28,282","44,399",23.26,"1,442,807",17.19,17.40,
103,현대차우,"116,000","1,000",-0.85%,"5,000","28,254","24,357",55.22,"167,638",27.72,N/A,
104,BGF리테일,"161,500","2,500",-1.52%,"1,000","27,914","17,284",32.37,"62,814",21.33,26.46,
105,대우조선해양,"26,000",400,+1.56%,"5,000","27,896","107,291",9.27,"231,205",16.00,-1.22,
106,DB손해보험,"38,000",400,+1.06%,500,"26,904","70,800",40.56,"209,601",4.84,6.92,
107,GS리테일,"34,800",300,-0.85%,"1,000","26,796","77,000",14.96,"378,207",15.86,6.25,
108,휠라홀딩스,"44,000","1,200",+2.80%,"1,000","26,731","60,752",48.40,"314,915",14.83,23.81,
109,현대오토에버,"127,000","2,500",-1.93%,500,"26,670","21,000",1.00,"74,692",46.40,11.71,
110,대우건설,"6,330",130,-2.01%,"5,000","26,309","415,623",8.35,"9,859,403",13.67,8.80,
111,OCI,"108,500",0,0.00%,"5,000","25,877","23,849",20.14,"457,181",-3.51,-26.20,
112,한화,"33,800",900,+2.74%,"5,000","25,336","74,959",19.63,"811,443",13.77,2.09,
113,삼성엔지니어링,"12,750",200,+1.59%,"5,000","24,990","196,000",24.31,"1,184,518",9.79,24.62,
114,현대위아,"91,600","2,000",-2.14%,"5,000","24,911","27,195",10.54,"669,082",19.79,1.80,
115,팬오션,"4,650",25,+0.54%,"1,000","24,857","534,570",11.32,"1,944,364",18.38,5.49,
116,한화생명,"2,850",120,+4.40%,"5,000","24,753","868,530",7.36,"7,876,731",10.84,0.51,
117,메리츠증권,"3,610",25,+0.70%,"1,000","24,402","675,962",13.45,"5,219,658",4.52,15.06,
118,신세계,"238,000","1,000",+0.42%,"5,000","23,432","9,845",24.37,"79,909",-7.65,14.24,
119,DL이앤씨,"121,000","3,000",+2.54%,"5,000","23,424","19,359",27.73,"810,719",N/A,N/A,
120,제일기획,"20,250",400,+2.02%,200,"23,296","115,041",32.75,"515,736",17.16,15.09,
121,포스코인터내셔널,"18,650",350,+1.91%,"5,000","23,009","123,375",11.16,"7,484,025",10.29,7.06,
122,하이트진로,"32,600",150,-0.46%,"5,000","22,864","70,134",8.28,"372,150",30.81,-3.86,
123,한샘,"97,100","1,100",+1.15%,"1,000","22,851","23,534",23.00,"54,887",34.09,7.32,
124,한솔케미칼,"199,000","2,000",+1.02%,"5,000","22,477","11,295",40.02,"47,248",19.15,20.88,
125,LS,"68,200","1,400",+2.10%,"5,000","21,960","32,200",14.15,"243,845",-947.22,0.80,
126,현대로템,"19,650",100,+0.51%,"5,000","21,446","109,142",4.54,"1,352,364",-11.16,-37.93,
127,KODEX 200선물인버스2X,"2,090",65,-3.02%,0,"21,209","1,014,800",1.66,"753,263,354",N/A,N/A,
128,종근당,"185,500","2,500",-1.33%,"2,500","21,195","11,426",12.91,"120,759",22.01,11.94,
129,한화에어로스페이스,"41,700",800,+1.96%,"5,000","21,113","50,630",18.27,"1,565,290",29.24,5.45,
130,오뚜기,"566,000","1,000",-0.18%,"5,000","20,783","3,672",16.41,"4,312",19.12,7.79,
131,녹십자홀딩스,"42,850",450,-1.04%,500,"20,152","47,028",6.68,"598,916",40.50,0.37,
132,대한유화,"309,500","22,000",+7.65%,"5,000","20,118","6,500",20.20,"246,484",22.66,6.11,
133,한화시스템,"18,200","1,050",+6.12%,"5,000","20,062","110,230",6.53,"2,395,365",25.78,8.15,
134,HDC현대산업개발,"29,200",300,+1.04%,"5,000","19,245","65,907",10.68,"671,453",7.25,20.30,
135,두산인프라코어,"8,830",60,+0.68%,"5,000","19,067","215,932",6.39,"10,425,034",11.39,11.59,
136,LS ELECTRIC,"62,600",700,+1.13%,"5,000","18,780","30,000",14.55,"168,602",24.12,7.82,
137,대웅제약,"161,500","4,000",+2.54%,"2,500","18,712","11,587",5.09,"126,278","-1,129.37",4.34,
138,BNK금융지주,"5,740",50,+0.88%,"5,000","18,709","325,935",38.46,"1,475,624",3.89,7.07,
139,현대미포조선,"46,350",0,0.00%,"5,000","18,513","39,942",13.25,"293,315",39.89,2.31,
140,현대백화점,"79,000",500,+0.64%,"5,000","18,488","23,402",14.57,"156,232",16.19,4.64,
141,KODEX 삼성그룹,"10,460",90,+0.87%,0,"18,378","175,700",0.03,"483,699",N/A,N/A,
142,메리츠화재,"15,200",300,+2.01%,500,"18,335","120,625",10.44,"496,651",4.46,12.80,
143,현대해상,"20,500",300,+1.49%,500,"18,327","89,400",36.49,"425,063",5.03,6.23,
144,KCC,"203,500","3,000",+1.50%,"5,000","18,084","8,886",11.78,"40,166",-646.03,-4.37,
145,효성티앤씨,"416,000","27,000",+6.94%,"5,000","18,003","4,328",16.90,"536,170",21.12,20.86,
146,KODEX 레버리지,"27,350",765,+2.88%,0,"17,942","65,600",3.36,"55,936,212",N/A,N/A,
